date,sales
2024-01-01,182.44
2024-01-02,193.16
2024-01-03,215.86
2024-01-04,209.32
2024-01-05,170.54
2024-01-06,166.74
2024-01-07,184.74
2024-01-08,200.03
2024-01-09,220.58
2024-01-10,218.39
2024-01-11,219.94
2024-01-12,199.02
2024-01-13,179.88
2024-01-14,190.68
2024-01-15,200.37
2024-01-16,204.58
2024-01-17,216.27
2024-01-18,191.52
2024-01-19,185.18
2024-01-20,164.31
2024-01-21,166.46
2024-01-22,179.29
2024-01-23,211.97
2024-01-24,206.15
2024-01-25,193.7
2024-01-26,177.53
2024-01-27,175.62
2024-01-28,181.97
2024-01-29,203.39
2024-01-30,224.87
2024-01-31,247.08
2024-02-01,219.07
2024-02-02,203.26
2024-02-03,192.8
2024-02-04,211.92
2024-02-05,236.14
2024-02-06,245.71
2024-02-07,245.79
2024-02-08,234.96
2024-02-09,227.93
2024-02-10,216.35
2024-02-11,217.99
2024-02-12,223.98
2024-02-13,246.42
2024-02-14,247.51
2024-02-15,234.04
2024-02-16,217.8
2024-02-17,198.48
2024-02-18,204.43
2024-02-19,215.2
2024-02-20,233.16
2024-02-21,239.73
2024-02-22,211.38
2024-02-23,202.33
2024-02-24,190.87
2024-02-25,196.08
2024-02-26,219.11
2024-02-27,253.91
2024-02-28,243.11
2024-02-29,250.02
2024-03-01,213.99
2024-03-02,217.15
2024-03-03,229.51
2024-03-04,253.94
2024-03-05,275.58
2024-03-06,283.4
2024-03-07,264.67
2024-03-08,246.32
2024-03-09,245.93
2024-03-10,242.04
2024-03-11,250.15
2024-03-12,267.47
2024-03-13,271.9
2024-03-14,269.38
2024-03-15,245.22
2024-03-16,235.33
2024-03-17,228.26
2024-03-18,247.91
2024-03-19,266.9
2024-03-20,262.13
2024-03-21,255.34
2024-03-22,226.89
2024-03-23,217.63
2024-03-24,222.68
2024-03-25,235.02
2024-03-26,267.99
2024-03-27,267.5
2024-03-28,262.89
2024-03-29,251.39
2024-03-30,243.35
2024-03-31,253.62
2024-04-01,268.99
2024-04-02,287.72
2024-04-03,298.57
2024-04-04,277.24
2024-04-05,262.98
2024-04-06,254.39
2024-04-07,262.88
2024-04-08,292.21
2024-04-09,299.22
2024-04-10,307.28
2024-04-11,307.78
2024-04-12,273.91
2024-04-13,268.81
2024-04-14,257.46
2024-04-15,278.11
2024-04-16,286.97
2024-04-17,293.88
2024-04-18,289.46
2024-04-19,248.3
2024-04-20,252.67
2024-04-21,254.93
2024-04-22,265.73
2024-04-23,277.07
2024-04-24,295.11
2024-04-25,280.7
2024-04-26,270.63
2024-04-27,260.47
2024-04-28,281.21
2024-04-29,287.81
2024-04-30,303.01
2024-05-01,321.16
2024-05-02,313.71
2024-05-03,307.58
2024-05-04,294.92
2024-05-05,298.26
2024-05-06,326.62
2024-05-07,324.25
2024-05-08,333.84
2024-05-09,319.9
2024-05-10,304.69
2024-05-11,283.88
2024-05-12,302.69
2024-05-13,311.08
2024-05-14,316.06
2024-05-15,321.57
2024-05-16,317.93
2024-05-17,300.8
2024-05-18,296.22
2024-05-19,306.27
2024-05-20,302.46
2024-05-21,308.02
2024-05-22,303.38
2024-05-23,311.62
2024-05-24,285.53
2024-05-25,279.12
2024-05-26,284.71
2024-05-27,309.12
2024-05-28,339.82
2024-05-29,340.93
2024-05-30,330.78
2024-05-31,308.95
2024-06-01,296.06
2024-06-02,313.66
2024-06-03,337.76
2024-06-04,372.45
2024-06-05,365.91
2024-06-06,362.47
2024-06-07,332.47
2024-06-08,315.34
2024-06-09,320.94
2024-06-10,339.04
2024-06-11,377.53
2024-06-12,356.24
2024-06-13,355.38
2024-06-14,319.98
2024-06-15,320.38
2024-06-16,318.02
2024-06-17,328.94
2024-06-18,345.53
2024-06-19,343.85
2024-06-20,340.35
2024-06-21,314.3
2024-06-22,297.18
2024-06-23,302.66
2024-06-24,333.77
2024-06-25,365.14
2024-06-26,361.47
2024-06-27,351.19
2024-06-28,339.46
